编号,名称,价格,描述
177,渎神遗物,5250,攻击倍率+35%，受伤倍率+50%
178,昨日通道,3250,红宝石效果+1
179,追击,3250,基础速度+1；每击杀7名敌人：临时速度+1
180,遗忘之泉,4250,拾取血瓶后：气息+1
181,高塔物资,2250,获得时：殿堂之辉+5，传说之辉+1
182,奥利维特源质,3250,拾取宝石后：传说充能+6
183,归一化,5250,战斗开始时，若面板中(攻击+防御)低于敌人面板(攻击+防御)：最终攻击×1.2，最终防御×1.2
184,可见的光,1500,获得时：调语+100
185,崭新的梦,3250,进入新的层级时：地质锤+1，青山火药+1，工业弹簧+1，界世依花+1
186,青山矿灯,2250,使用青山火药后：金币+30
187,苍古之愿,5500,击杀敌人后：本层藏品攻击提升2%基础攻击，藏品防御提升2%基础防御，（上限：110%）
188,混色钢板,2500,击杀10名敌人后：基础防御+1
189,帝王之剑,3750,若最终攻击大于敌人最终防御的4倍：本场战斗伤害倍率+100%
190,无垠的黑,1500,获得时：调语-100
191,液态基质萃取器,2500,拾取16个宝石后：基础速度+1
192,染墨长剑,4250,拾取宝石或血瓶后：藏品攻击提升1%基础攻击，（上限：140%）
193,第十万盏灯,4750,基础攻击+7，基础防御+7，基础速度+7
194,向光,1750,击杀敌人后：本层藏品生命上限+15
195,无名之壁,3500,使用消耗品后：基础防御+1
196,龙袍,6250,最终战损*r，r为最终防御与敌人最终攻击的比值，（上限：75%）
197,古代科技,5250,追加伤害提升20%最终攻击
198,决绝,5500,获得时：传说之辉+4
199,待饮黄泉,6250,生命上限倍率+18%，防御倍率+18%
200,微渺穿刺,4250,基础攻击+15，攻击的总伤害不会低于6%最终攻击
201,人间之味,5750,击杀敌人后，按顺序切换：攻击倍率+25%，防御倍率+25%，速度倍率+25%
202,雷霆之速,4250,基础速度+7
203,诗词歌赋记录,5500,藏品攻击提升15%基础攻击；最终攻击提升10%面板攻击
204,记忆之盐,6750,重置属性时：临时属性不再清空，改为保留20%
205,暗血魔法,5250,护盾降低当前生命的8%，最终攻击提升当前生命的4%
206,行路道标,5750,每有一种消耗品的数量为0：攻击倍率+6%，防御倍率+6%，速度倍率+6%
207,苦涩的根,1750,生命上限+2500；获得时，扣除900生命（不致死）
208,不胜棋盘,4250,进入新的层级时：荒野行商刷新次数+1
209,光的容器,6750,获得时：将基础攻防调整为两者最大值
210,浓缩海水,3250,拾取10个血瓶后：基础生命上限+250。
211,无名之躯,3750,藏品攻击提升28%基础攻击，藏品防御提升28%基础防御
212,寒山马达,2750,进入未进入过的地图时：一名随机敌人战斗开始时流失5%敌人最大生命，重复6次
213,寒夜孤灯,1500,殿堂之辉转化的攻击+25%；殿堂之辉转化为攻击后：调语-1
214,光风手电筒,2750,藏品速度提升20%基础速度
215,落日残血,4750,击杀敌人后，若使用了剑技：藏品攻击提升6%基础攻击，（上限：120%）
216,浑浊溶液,2250,熔岩地形造成的伤害×0.5
217,故乡之影,6500,红宝石效果+1，蓝宝石效果+1，黄宝石效果+1
218,不由天命,4250,收藏品二选一变为三选一
219,奇迹记录册,1250,基础生命上限+400，基础攻击+1，基础防御+1，基础速度+1
220,暗夜碑文,3500,伤害倍率+55%，受伤倍率+55%；获得时：调语-20
221,洇雨枯灯,1250,使用殿堂之辉后：临时生命上限+150
222,真实疆界,2500,获得时：调语+20，金币+200，殿堂之辉+2
223,狭路道标,3250,若敌人为首领：本场战斗伤害倍率+35%
224,托里萨玛之辉,2750,战斗开始时，若生命大于85%：最终攻击×120%
225,有效反制,6500,最终战损×90%；追加伤害提升10%敌人最终攻击
226,千里加急,4250,战斗开始时：获得基础速度乘以层数的行动点
227,回收,2500,获得收藏品时：基础生命上限+200，回复200生命
228,最后的珍宝,2750,藏品攻击+7，藏品防御+7；在本局游戏中每通过一层：上述的藏品攻击与藏品防御额外+7
229,劣质碳水,3250,基础生命上限+8000，基础速度-4；获得时：回复4000生命
230,二色光枪,3250,基础攻击+4；每持有1张麻将：攻击倍率+4%
231,弓兵手册,6250,击杀18名敌人后：藏品攻击提升3%基础攻击，藏品防御提升3%基础防御
232,铅制骰子,5500,更容易获得品阶更高的收藏品
233,枫红刻刀,4250,每拥有1个地质锤：藏品攻击提升3%基础攻击；获得时：地质锤+3
234,交会光影,1250,获得时：调语变为50
235,第二类烟花棒,2750,藏品攻击提升32%基础攻击
236,持续燃烧,2750,击杀敌人后：在本层所有敌人生命上限-0.1%（上限：15%）
237,裂岩之锤,4750,使用地质锤后：破坏周围5×5的墙体
238,守门人,2250,开启黑色机关门；获得时：调语+15
239,神游炉灰,5500,最终攻击提升当前生命的1%
240,残损定时器,1750,若天气为血雨，拾取红血瓶后：攻击+3；若天气为血雨，拾取蓝血瓶后：防御+3
241,暗杀刺刀,2750,敌人攻击需要的行动点×110%
242,电阻热噪声,3500,拾取4个宝石后：宝石的效果×200%；再拾取1个宝石后：移除上述增益
243,古代火炬,4500,红宝石效果+2，蓝宝石效果+2，黄宝石效果+1，所有敌人攻击×106%，所有敌人防御×106%，所有敌人速度×106%
244,苍白疫病,5750,拾取10个宝石后：殿堂之辉+1；获得时：调语+10
245,断层底片,4500,基础攻击+7；击杀4名敌人后：藏品攻击+1
246,十三号门,5250,基础防御+13，最终防御提升13%面板防御
247,仪式长剑,6250,基础攻击+20，伤害倍率+20%
248,钴立方体,4250,"藏品攻击提升X%基础攻击，藏品防御提升Y%基础防御，藏品速度提升Z%基础速度，（XYZ为10-30的随机数,每局游戏的XYZ值是唯一的）"
249,贵族弯刀,4250,若生命低于30%：伤害倍率+50%
250,殉道,2750,基础攻击+16，基础防御+16，藏品生命上限降低30%基础生命上限
251,狂风电扇,5250,速度倍率+8%，所有敌人速度×92%
252,无瑕至宝,5500,使用传说之辉后：殿堂之辉+3
253,金刚石底座,4500,基础防御+10；最终攻击提升10%面板防御
254,消解之雨,3750,防御倍率-15%，所有敌人防御×60%；获得时：调语-15
255,被遗忘的字节,6250,获得时：殿堂之辉的充能需求重置为20
256,空间折叠技术,5250,战斗开始时：最终速度提升敌人最终速度12%，然后敌人最终速度×88%
257,诅咒之物,4250,敌人掉落的充能×70%，敌人掉落的金币×150%
258,末日毛线,2500,若没有消耗品：血瓶效果×200%
259,世界零件,3500,若天气为血雨或暴雨：攻击倍率+12%，防御倍率+12%，速度倍率+12%
260,古代集线器,4500,每拥有1件收藏品：伤害倍率+0.7%
261,天河剃刀,4500,进入新的层级时：损失生命至50%；依上述方式每损失10生命：金币+1
262,流控阀门,3500,基础速度+4，藏品速度提升4%基础速度，速度倍率+4%
263,炭化符文,2250,敌人的破甲技能穿透的防御更少；获得时：调语-15。
264,混沌卡牌,2500,麻将牌被替换后：基础防御+7
265,潮水徽章,2750,拾取血瓶后：战斗开始时，敌人生命流失100点；击杀敌人后：移除上述的增益
266,沉重模具,5250,拾取地质锤时：地质锤额外+1；拾取工业弹簧时：工业弹簧额外+1
267,最后的盾,5250,护盾提升50%最终攻击，护盾提升50%最终防御
268,今生之墨,5250,首次行动值满时，若敌人生命低于75%：最终战损×40%
269,燃烧的硫,2750,伤害倍率+20%，受伤倍率+10%
270,坍缩信标,4250,所有敌人速度×75%；战斗开始时，行动点降低100
271,无限解离,5500,击杀敌人后：所有敌人战斗开始时：最终防御-1
272,血色的墨,2750,击杀敌人后：本层首领战斗开始时：生命流失15
273,剧毒弥散,5500,进入新的层级时：损失所有气息（上限：120）；依上述方式每损失3气息：本层所有敌人攻击-1%，本层所有敌人防御-1%
274,思维改造器,2750,若敌人不是首领：敌人生命上限×105%，敌人攻击×105%，敌人防御×105%；若敌人是首领：敌人生命上限×85%，敌人攻击×85%，敌人防御×85%
275,高斯噪声,4750,通过层级的奖励额外增加一个普通收藏品箱
276,红色缎带,1500,使用消耗品后：传说充能+20
277,涌动的热,5250,红宝石效果+3；拾取红宝石后：受到1次熔岩伤害
278,无名游魂,3250,进入新的层级时：基础生命上限+1500
279,无可阻挡的潮水,6750,击杀5名敌人后：本层攻击倍率+1%，本层防御倍率+1%，（上限：50%）
280,虚无矩阵,4250,追加伤害提升（50%最终攻击-100%敌人最终防御），（下限：0）
281,出口标识,4500,黄宝石效果+1
282,压轴题册,4500,蓝宝石效果+1，殿堂之辉转化的防御+25%，传说之辉转化的防御+1；获得时：调语+15
283,驱邪,3250,若敌人为骷髅：本场战斗伤害倍率+100%
284,上古元素,3500,最终攻击提升5%面板防御，最终防御提升5%面板攻击
285,时间疆界,1750,将血雨与暴雨天气变为多云；每当新的一天天气为多云：基础攻击+2
286,无垠漂泊,2750,若天气为烈日或结晶：伤害倍率+30%
287,不朽躯壳,5750,所受伤害不会超过战前生命值的7%；上述效果触发时：若所受伤害小于100：所受伤害为100
288,攻守逆转,1250,获得时：交换基础攻防
289,工业级红药水,2750,每击杀1名敌人：本层红血瓶效果+2%，（上限：200%）
290,江山之重,6500,防御倍率+30%
291,被遗忘的冰晶,5250,敌人攻击需要的行动点提升100%最终速度
292,晨昏脉搏,2500,进入新的一天时：基础攻击+1，基础防御+1，基础速度+1
293,金属台座,3250,拾取蓝宝石后：本层藏品防御提升2%基础防御
294,微曦证章,5250,传说之辉提供的基础攻击提升2×对应选项等级，传说之辉提供的基础防御提升2×对应选项等级
295,贯彻古今的风,1750,风沙天气不再降低我方伤害，蚀风天气不再增加敌方伤害
296,空白玉片,2500,使用麻将牌后：基础攻击+4
389,“银河”,4750,若同时开启了剑技与防御术：每轮攻击额外造成1次伤害
394,潮水之杖,2750,使用殿堂之辉转化为生命值后：本层临时生命上限+400
395,一整桶盐,6500,获得时：基础防御提升0.3%基础生命上限
397,失效录像带,3250,最终战损×93%
398,命运之尺,3500,若你的生命恰好为13的倍数：伤害倍率+34%，受伤倍率-34%
399,被弃之物,6250,击杀敌人后：令X提升3+当前层数；击杀首领后：获得X金币；进入新的层级时：令X为0
400,梦魇之柱,5250,击杀敌人后：使其所在行列的所有敌人最终攻击-8%
401,归一重排,4500,红血瓶的基准值变为300，蓝血瓶的基准值变为300，黄血瓶的基准值变为300，绿血瓶的基准值变为300
402,三极管放大器,2750,藏品攻击提升基础速度的平方与基础攻击的比值，（计算时基础攻击最低为1），（上限：500×层数）
403,限界诗文,2750,传说充能的增长速度-10
404,共振之弦,3500,拾取血瓶后：临时攻击+1
405,旧日天际,4250,进入新的层级时：攻防倍率+30%；击杀敌人后：攻防倍率-2%，（每层至多触发15次）
407,故乡之壤,2500,殿堂之辉转化的生命+50%
408,引渡之杖,3250,进入新的层级时：当前生命每与面板生命上限有160点差值：临时攻击+1
409,血色之花,4500,基础生命上限+2000；击杀敌人后：基础生命上限+16
410,浮世泡沫,4750,血瓶的效果×100%；拾取水晶后，使上述效果+2%
411,无阻浊流,4250,击杀200名敌人后：蓝宝石效果+1
412,献祭匕首,5750,血瓶溢出X点回复量：红宝石效果+1；触发上述效果后：令X提升7500，（X初值为7500）
413,相位空区,2750,基础攻击+12，攻击倍率-4%
414,微曦之熵,5250,"基础生命上限+800,基础攻击+4，基础防御+4,基础速度+2；获得时：气息上限+5,金币+200，地质锤+1,青山火药+1,工业弹簧+1,界世依花+1，殿堂之辉+2,传说之辉+1"
415,“最后的我们”,2750,携带该藏品通关游戏时：下一局游戏开始时，获得一件随机的3~6阶收藏品
424,远方的水,4250,进入新的层级时：气息+60
425,四重炸药,2750,使用青山火药后：令周围5×5范围内敌人战斗开始时流失5%敌人最大生命
426,星墟石砖,1500,拾取长夜之翎后：回复500生命
427,神圣之月,3750,调语为100时：最终战损×72%
428,残缺的横梁,3250,基础速度+4；使用8个消耗品后：基础速度+1
429,黄昏长弓,2250,进入未进入过的地图时：使一名随机敌人最终速度-10%，重复2次
430,指路灯,5500,每使用8次剑技或防御术：本层红宝石效果+1
431,矩阵骰子,3750,荒野行商出售的物品数量+2
432,奇卡恰卡琉璃,6750,每使用8个殿堂之辉：本层红宝石效果+1，本层蓝宝石效果+1，本层黄宝石效果+1
434,悲泣之血,5750,红宝石效果+2；拾取红血瓶后：临时攻击+1
435,精炼香水,2750,基础速度+2；使用界世依花后：临时速度+2。
436,彼岸精油,2750,击杀敌人后：本层最终防御+1
437,公路模型,4750,藏品生命上限提升15%基础生命上限，藏品攻击提升15%基础攻击，藏品防御提升15%基础防御，藏品速度提升15%基础速度
438,对位之暗,4750,击杀首领后：本层生命上限倍率+30%，攻击倍率+20%，（不叠加）
439,探矿,2750,使用传说之辉后：金币+100
440,终末流星,1250,藏品生命上限提升当前层数的400倍
441,相位涂料,2750,拾取宝石后：临时生命上限+40
442,百秩之风,5500,若天气为风沙或蚀风：宝石的效果×2
444,赤色挽歌,2750,拾取红宝石或红血瓶后：本层最终战损-0.2%（上限：12%）
445,阴云汇聚器,1500,将结晶转化为血雨，将烈日转化为暴雨；每当新的一天天气为血雨或暴雨：调语-10
446,干涸之念,5750,调语为0时：使用剑技的消耗×50%，（上限：减少5点）
447,铝热剂,2500,青山火药可以破坏墙体
448,铸铁锻锤,4750,击杀2名机械后：地质锤+1
449,虚无物质,3250,进入新的层级时，若麻将槽有空位：随机获得一张麻将
450,注定的终焉,5250,生命低于20%时：伤害倍率+33%，最终战损×67%
451,拟合奇点,2500,获得时：随机提升三种基础属性，降低未被提升的基础属性
452,失温的伞,3250,藏品速度+5；调语低于50时：调语每与50有5点差值：藏品速度额外+1；获得时：调语-20
454,天行砾石,3250,最终攻击提升50%面板速度
455,夜明之烛,4750,击杀35名史莱姆后：红宝石效果+1，蓝宝石效果+1
456,墨染的水,4250,若基础攻击高于基础防御：攻击倍率+12%；若基础攻击低于基础防御：防御倍率+12%
457,潜藏之刃,3750,击杀敌人后，若使用了防御术：临时攻击+8
458,晨昏之简,5500,殿堂之辉提供的攻击+40%，殿堂之辉提供的防御+40%，殿堂之辉提供的速度+40%
459,苍白之血,1750,调语降低时：额外降低等量调语
460,程途之重,6250,进入新的层级时：额外生成一个普通房间；若层级不是最终层级：额外生成一个宝箱房间
461,翠绿海盐,2750,藏品防御提升X%基础防御，（X为当前深度×8）
462,神迹前夜之灯,2500,速度倍率+5%；开启通往相位余烬的道路
464,千年寒冰,4500,藏品生命上限提升50%基础生命上限
465,有限之壁,3500,每拥有1个地质锤或青山火药：最终攻击+10
466,限界缎带,4500,藏品生命上限提升45%基础生命上限；若没有消耗品：上述效果改为90%
467,城界晚报,2750,进入新的一天时：可以选择将天气改为多云
468,光面宝石棱镜,1750,调语提升时：额外提升等量调语
469,暗夜之眼,6500,拾取长夜之翎时：额外获得1个长夜之翎
470,渡河沙漏,2250,进入新的一天时：基础生命上限+500，基础速度+1，调语-5
471,镜子对面,5500,战斗开始时：最终攻击提升敌人最终攻击8%，然后敌人最终攻击×92%
472,II类中断,1500,进入新的层级时：获得1个红宝石，获得1个蓝宝石，获得1个黄宝石
474,光景之炉,5250,基础生命上限+1500，藏品生命上限提升15%基础生命上限，生命上限倍率+15%
475,现代气息,3250,击杀3名敌人后：气息+1
476,润滑油桶,5250,速度倍率+16%
477,萦绕之愁,1500,进入未进入过的地图时：地图中每有4名敌人：临时攻击+1
478,诛神的刀,4750,若处于17:50-18:10：攻击倍率+180%
479,混凝土盾,3500,红宝石效果-1，蓝宝石效果+2，防御倍率+10%
480,终焉计时器,3250,击杀24名敌人后，护盾提升15倍基础攻击；再击杀1名敌人后：移除上述增益
481,灰色钥匙,3750,若调语在45与55之间：开启黑色门与白色门。
482,长夜神格,6250,调语为100时：殿堂之辉将会同时转化为全部四个选项
484,流动骨髓,2250,击杀骷髅后：临时生命上限+250，回复250生命
485,天国锁链,5250,与战损超过生命的非首领敌人战斗后：不死亡，生命上限倍率-25%，攻击倍率+25%，防御倍率+25%，回复10%生命，（每局游戏限1次）
486,旧日华裳,2500,若天气为风沙或蚀风：受伤倍率-23%
487,环流模型,3500,战斗开始时：最终攻击降低12%面板攻击，最终攻击提升12%敌人面板攻击，敌人最终攻击降低12%敌人面板攻击，敌人最终攻击提升12%面板攻击
488,星空余灰,6500,最终攻击提升10%面板攻击，最终防御提升10%面板防御，最终速度提升10%面板速度
489,逐流之笔,5250,获得时，若调语大于等于50：攻击倍率+20%；获得时，若调语小于等于50：防御倍率+20%
490,万物之尘,3500,进入新的层级时：获得2个长夜之翎
491,虚幻之章,3500,拾取长夜之翎时：金币+50
492,第三十九把伞,6250,获得时：殿堂之辉+39，金币+39，调语+39
494,黄金屏障,4500,每拥有5金币：护盾+1
495,分析天平,6500,"生命上限倍率+12%,攻击倍率+12%，防御倍率+12%,速度倍率+12%；以400生命上限=4攻击=4防御=1速度的比例平均分配面板生命上限攻击防御和速度"
496,赤色恒星,4250,进入新的层级时：藏品生命上限降低8%基础生命上限，藏品攻击提升40%基础攻击
497,机械丧钟,3250,若处于23:00-01:00；伤害倍率+100%
498,完美的荷包蛋,5250,基础生命上限+1500；击杀敌人后，若使用了剑技：基础生命上限+100；获得时，回复3000生命
499,白银剑盾,3500,进入新的层级时：临时攻击+15，临时防御+15；进入新的层级时，每拥有60金币：临时攻击额外+1，临时防御额外+1
500,宝石刻刀,4500,拾取红宝石后，临时防御+1；拾取蓝宝石后，临时攻击+1；拾取黄宝石后，临时攻击+1，临时防御+1
501,不破关隘,2250,若面板攻击低于敌人面板防御：本场战斗攻击需要的行动点×50%
502,机魂,3500,进入新的一天时：回复50%生命
509,不锈钢管,4500,调语低于20时：红宝石效果+1，蓝宝石效果+1
510,神的往昔,5500,获得时：基础攻击+2×天数，基础防御+2×天数
511,虚无夹缝,3750,调语降低时：临时攻击+4
512,引弦之愿,3750,战斗开始时：敌人生命流失12%敌人生命上限
513,黄金毛线,6250,击杀敌人后：金币+3；获得时：金币×2
514,命运线,5250,获得时：将所有金币转化为殿堂充能与传说充能。
515,青山之柴,2750,每拥有1个青山火药：最终战损-1%（上限：50%）
516,铁质器具,4500,使用地质锤后：工业弹簧+1；使用工业弹簧后：临时攻击+6。
517,自由引线,1750,若你只有一个青山火药，使用青山火药后：消灭以角色为中心的5×5范围的敌人
518,魔化屏风,4250,使用界世依花后：下1场战斗的战损×60%，（持续时间可叠加）
519,生命芳草,3750,血瓶的效果×100%；每持有1个界世依花：上述效果+3%
520,组合型穿云箭,2500,攻击倍率提升四种消耗品数量的平均值，（单位：1%）
521,渺小的火,4500,进入新层级时，若没有殿堂之辉：在本层攻防倍率+16%，在本层速度倍率+8%，临时攻击+32，临时防御+32，临时速度+16
522,接触不良的导线,4250,进入新层级时：殿堂之辉+2；进入新层级时，若殿堂之辉小于10：殿堂之辉额外+3
523,“一位故人”,5250,使用7个殿堂之辉后：殿堂之辉提升基础属性；再使用1个殿堂之辉后：移除上述增益
524,秋日边缘,3750,获得时：失去所有消耗品，并基于失去消耗品的类型将其转化为400/2/2/1点基础生命上限/攻击/防御/速度
525,风化枯枝,2750,调语在40到60之间时：蓝宝石效果+3
526,神剑核心,2500,拾取8个宝石后：基础攻击+1
527,绝缘栅型场效应管,4500,殿堂充能的增长速度-1，传说充能的增长速度-10
528,潮湿支票,5500,进入新的层级时：金币数量+100%（上限：3000）
529,昨日的坟,2500,无视无铭
530,炽热之尘,4750,获得时：将所有的殿堂之辉以1:1%的比例转化为攻击倍率
531,灵界钝器,5250,追加伤害提升15%的最终防御
532,枫红符文,5250,"使枫红刻刀,枫红溶剂,枫红笺纸与枫红断刃额外提供等数值的对应属性倍率"
534,不尽之魇,3500,若敌人为骷髅：敌人生命上限×80%，敌人攻击×80%，敌人防御×80%，敌人速度×80%
535,至纯之蓝,3500,击杀敌人后，若使用了剑技：临时防御+3；击杀敌人后，若使用了防御术：临时防御+3
536,苍白河沙,3750,进入未进入过的地图时，回复10%生命
537,长梦之色,6500,获得时：殿堂之辉×2
538,无界之峰,6250,敌人最终攻击降低10%面板攻击，敌人最终防御降低10%面板防御
539,完全虚无,3250,获得时：传说之辉的四个选项各提升3个等级
540,小石墨锭,3750,攻击倍率+3%，防御倍率+3%，生命上限倍率+3%，速度倍率+3%
541,烙铁,4750,受到熔岩伤害后：本层藏品攻击+2，（上限：1000）
542,湛蓝之梦,4750,使用殿堂之辉后：气息+2
544,铜制宝刀,4750,获得时：将所有金币以80：1的比例转化为基础攻击
545,白金会员卡,2750,进入新的层级时：若金币数高于当前层级数的600倍：荒野行商刷新次数+2
546,一箱谷子,3500,荒野行商售空时：刷新（每局游戏限6次）
547,绘梦浊酒,3250,进入新的层级时：获得10颗随机宝石
548,菲尼克斯废液缸,5250,进入新的层级时：获得临时攻击数量的金币，获得临时防御数量的金币，获得临时速度数量的金币
549,星芒散射,3500,追加伤害提升殿堂之辉数量
550,百分之一的神话之辉,4500,使用传说之辉后：气息上限+2
551,迷失黑夜的遗骨,6500,获得时：将传说之辉充能需求重置为210
552,前程滤网,6250,通过充能获得殿堂之辉时：基础攻击+2
554,悖论涌流,3500,持有该藏品通过2个层级后：失去该藏品并获得一件随机6阶收藏品
555,寒夜之影,6250,使用索子牌后：额外使用一次
556,不稳定系统,3500,调语发生增减时：临时速度+1
557,苍白灯芯,3250,调语提升时：临时生命上限+500，回复250生命
558,万物之死,5750,若敌人不是骷髅且敌人不是机械：将其额外视为骷髅与机械
559,二元脉冲,5750,若敌人是机械：敌人的最终防御降低90%敌人面板防御
560,无解绳索,6750,调语小于等于30时：所有击杀敌人后效果额外触发1次
561,山神殿模型,4500,若敌人不是首领：敌人生命上限×112%，敌人攻击×112%，敌人防御×112%，敌人速度×112%，敌人掉落的充能×200%
562,神意示波器,6750,每拥有1件收藏品：基础速度+1，藏品速度提升1%基础速度
569,死去的进步之神,3250,敌人掉落的充能×125%
570,“离去之后”,2750,基础攻击+12，基础防御-5，蓝血瓶的效果×150%
571,高速运转的机器,5555,基础攻击+12，基础防御+5，基础速度+5；获得时：气息上限+5
572,北境雪球,4250,调语为50时，最终战损×30%
573,枫红笺纸,4250,每拥有1个界世依花：藏品防御提升3%基础防御；获得时：界世依花+3
579,塑料吊灯,2750,调语大于80时，蓝宝石效果+2
580,被诅咒的时间轴,4750,攻击倍率+24%，防御倍率+24%；进入新的一天时：攻击倍率-6%，防御倍率-6%，（至多触发4次）
581,调相仪,2750,获得时：基础防御提升调语0.18倍，基础生命提升调语15倍
582,陶瓷刻刀,6500,获得麻将牌时，若另一麻将槽位是空位：填入一张相同的麻将
